"tipo_mueble","nivel","material","unidad","cantidad","notas","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","2","Soporte Estante - 5/5","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","2","Tornillo 50mm - Melamina T10","unidad","16","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","2","Tornillo 16mm - Melamina T10","unidad","52","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","3","Placa MDF 18mm - * Nivel 3","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","3","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","3","Tapacanto - ABS Egger","metro","8","Medida 2×23mm","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","3","Bisagra - Codo 0 C.Suave","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","3","Pata - PVC Reg. 70-100","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","3","Zócalo 3m - 100mm","metro","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","3","Soporte Estante - 5/5","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","3","Tornillo 50mm - Melamina T10","unidad","16","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","3","Tornillo 16mm - Melamina T10","unidad","52","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","4","Placa MDF Crudo 18mm - * Nivel 4","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","4","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","4","Tapacanto - ABS Egger","metro","8","Medida 2×23mm","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","4","Bisagra - Codo 0 C.Suave","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","4","Pata - PVC Reg. 70-100","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","4","Zócalo 3m - 100mm","metro","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","4","Soporte Estante - 5/5","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","4","Tornillo 50mm - Melamina T10","unidad","16","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","4","Tornillo 16mm - Melamina T10","unidad","52","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","5","Placa Rauvisio - Brilliant","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","5","Placa MDF 18mm - * Nivel 2 Blanco","placa","1","Interior","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","5","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","5","Tapacanto - ABS PerfectSense","metro","8","Medida 1×23mm","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","5","Bisagra - Codo 0 C.Suave","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","5","Pata - PVC Reg. 70-100","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","5","Zócalo 3m - 100mm","metro","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","5","Soporte Estante - 5/5","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","5","Tornillo 50mm - Melamina T10","unidad","16","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","5","Tornillo 16mm - Melamina T10","unidad","52","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","2","Placa MDF 18mm - * Nivel 2 Blanco","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","2","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","2","Tapacanto - PVC Blanco","metro","15","Medida 22×0,8mm","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","2","Bisagra - Codo 0 Común","unidad","2","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","2","Corredera Telesc. - Común","par","3","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","2","Pata - PVC Reg. 70-100","kit","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","2","Zócalo 3m - 100mm","metro","2,12","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","2","Tornillo 30mm - Melamina T10","unidad","24","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","2","Tornillo 16mm - Melamina T10","unidad","60","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","3","Placa MDF 18mm - * Nivel 3","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","3","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","3","Tapacanto - ABS Egger","metro","15","Medida 2×23mm","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","3","Bisagra - Codo 0 C.Suave","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","3","Corredera Telesc. - C.Suave","par","3","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","3","Pata - PVC Reg. 70-100","kit","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","3","Zócalo 3m - 100mm","metro","2,12","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","3","Tornillo 30mm - Melamina T10","unidad","24","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","3","Tornillo 16mm - Melamina T10","unidad","60","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","4","Placa MDF Crudo 18mm - * Nivel 4","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","4","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","4","Tapacanto - ABS Egger","metro","15","Medida 2×23mm","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada Cajonera","4","Bisagra - Codo 0 C.Suave","unidad","2","","","","","","","","","","","","","","","","","","","","",""
